cell	cell_x	cell_y	cell_n_transcripts	cell_density	cell_elongation	cell_area	cell_avg_confidence	cell_Celltype	Area_Cluster
1	2070.40476190476	19.0238095238095	42	0.01717	4.075	2446	0.8952	Telocyte	1
10	2334.70526315789	24.6105263157895	95	0.01564	1.756	6074	0.9135	Smooth Muscle	1
100	2955.78409090909	107.727272727273	88	0.01363	2.111	6458	0.926	Stromal	3
1000	1499.78461538462	3632.44615384615	65	0.01603	1.735	4054	0.9885	Smooth Muscle	1
1001	3122.12941176471	1913.57647058824	170	0.0234	2.248	7264	1	Goblet	2
1002	3049.81318681319	2061.6043956044	91	0.01973	2.354	4613	0.9995	Stem + TA	2
1003	4298.625	759.375	16	0.01114	4.92	1436	0.9945	Enterocyte (Mid Villus)	4
1004	4709.83163265306	379.280612244898	196	0.02201	1.465	8906	0.9895	Enterocyte (Mid Villus)	4
1005	4887.18487394958	324.558823529412	238	0.01913	1.853	12440	0.993	Enterocyte (Mid Villus)	4
1006	4001.12849162011	1135.62011173184	179	0.01942	2.711	9216	0.9375	B (Plasma)	3
1008	2977.45911949686	2173.16981132075	159	0.02885	3.26	5511	1	Stem + TA	2
1009	2307.25196850394	2810.37007874016	127	0.01765	2.594	7197	0.9055	Telocyte	3
1010	4887.53103448276	249.289655172414	145	0.02165	1.724	6696	1	Enterocyte (Mid Villus)	4
1011	1687.67901234568	3414.02469135802	81	0.01283	1.275	6315	0.9053	Smooth Muscle	
1012	1339	3779.41176470588	17	0.02899	5.808	586.5	1	Smooth Muscle	1
1013	1549.78125	3572.59375	32	0.01071	4.7	2988	0.8283	Endothelial	1
1014	4644.36641221374	417.007633587786	131	0.01937	2.441	6762	0.9984	Enterocyte (Mid Villus)	4
1015	3032.92517006803	2052.43537414966	147	0.0166	2.655	8854	0.9989	Stem + TA	2
1016	4256.2125	792.0625	160	0.02971	3.009	5386	1	Goblet	4
1017	3940.34640522876	1174.90196078431	153	0.01906	1.225	8028	0.9889	B (Plasma)	3
1018	4076.8021978022	1076.47252747253	91	0.0147	2.441	6190	0.9413	Endothelial	4
1019	3276.89051094891	1868.58394160584	137	0.01837	1.208	7458	1	Stem + TA	2
102	2044.17777777778	1084.44444444444	45	0.00784	1.999	5740	0.8756	Smooth Muscle	1
1020	3813.40084388186	1303.61603375527	237	0.01756	1.358	13500	0.975	B (Plasma)	3
1021	4415.02608695652	723.64347826087	115	0.02279	1.919	5046	0.9921	Enterocyte (Mid Villus)	4
1022	4925.1914893617	171.234042553192	94	0.01357	1.466	6926	0.9902	T (CD8+)	4
1023	2986.89830508475	2121.15254237288	59	0.0246	3.171	2398	1	Goblet	2
1024	1283.86956521739	3835.08695652174	23	0.01801	2.75	1277	0.9925	Smooth Muscle	1
1025	4854.92307692308	268.435897435897	78	0.0162	1.704	4814	0.9967	Enterocyte (Mid Villus)	4
1026	4123.42307692308	1058.11538461538	26	0.00807	3.05	3222	0.9772	T (CD4+)	4
1027	3002.9358974359	2096.15384615385	78	0.02782	2.369	2804	1	Stem + TA	2
1028	2553.14285714286	2491.28571428571	21	0.009321	1.741	2253	0.8592	Macrophage + DC	3
1029	4292.21428571429	832.821428571429	56	0.02333	7.948	2400	1	Enterocyte (Mid Villus)	4
1030	4322.57534246575	857.86301369863	73	0.0125	1.872	5840	0.9532	Enterocyte (Mid Villus)	4
1031	2920.17419354839	2203.27741935484	155	0.02004	2.237	7734	0.9997	Goblet	2
1032	1365.66666666667	3730.04761904762	21	0.01367	4.659	1536	1	Smooth Muscle	1
1033	4544.13824884793	579.940092165899	217	0.02448	1.88	8865	1	Enterocyte (Mid Villus)	4
1034	4331.38461538462	781.153846153846	13	0.02336	2.7	556.5	1	Enterocyte (Mid Villus)	4
1035	2843.58974358974	2295.94871794872	39	0.01259	1.86	3098	0.9705	T (CD4+)	3
1036	3494.75757575758	1617.51515151515	33	0.0201	6.314	1642	1	Stem + TA	2
1037	4771.3046875	366.09375	128	0.0286	5.548	4476	1	Enterocyte (Mid Villus)	4
1038	2332.23188405797	2887.8115942029	207	0.0266	3.809	7782	0.998	Stromal	3
1039	1366.32142857143	3757.10714285714	28	0.01626	2.697	1722	0.8722	Smooth Muscle	1
104	1730.31972789116	1420.66666666667	147	0.03096	1.823	4748	0.9861	Smooth Muscle	1
1040	2808.42682926829	2376.85365853659	82	0.01583	1.482	5180	0.9652	T (CD4+)	3
